""	"title"	"geo_accession"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"characteristics_ch1.2"	"characteristics_ch1.3"	"treatment_protocol_ch1"	"growth_protocol_ch1"	"molecule_ch1"	"extract_protocol_ch1"	"extract_protocol_ch1.1"	"extract_protocol_ch1.2"	"taxid_ch1"	"data_processing"	"data_processing.1"	"data_processing.2"	"platform_id"	"contact_name"	"contact_email"	"contact_institute"	"contact_address"	"contact_city"	"contact_zip.postal_code"	"contact_country"	"data_row_count"	"instrument_model"	"library_selection"	"library_source"	"library_strategy"	"relation"	"relation.1"	"supplementary_file_1"	"age.ch1"	"embryo.ch1"	"genotype.ch1"	"tissue.ch1"
"GSM2929440"	"Mouse embryo cell EB_337"	"GSM2929440"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349333"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551387"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929441"	"Mouse embryo cell EB_339"	"GSM2929441"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349332"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551388"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929442"	"Mouse embryo cell EB_340"	"GSM2929442"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349331"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551389"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929443"	"Mouse embryo cell EB_336"	"GSM2929443"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349330"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551390"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929444"	"Mouse embryo cell EB_341"	"GSM2929444"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349329"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551391"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929445"	"Mouse embryo cell EB_10"	"GSM2929445"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 1"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349328"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551392"	"NONE"	"embryonic day 5.25"	"embryo 1"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929446"	"Mouse embryo cell EB_388"	"GSM2929446"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349327"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551393"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929447"	"Mouse embryo cell EB_385"	"GSM2929447"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349326"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551394"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929448"	"Mouse embryo cell EB_391"	"GSM2929448"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349325"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551395"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929449"	"Mouse embryo cell EB_386"	"GSM2929449"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.25"	"embryo: embryo 7"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349324"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551396"	"NONE"	"embryonic day 5.25"	"embryo 7"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
